E,E^2,E^4,M,M^2,M^4,E_err,M_err
-3475.200000,12101638.628571,147648612686537.156250,1324.557143,1782542.828571,3379248027825.256836,34.568613,42.831790
-3475.200000,12101638.628571,147648612686537.156250,1324.557143,1782542.828571,3379248027825.256836,34.568613,42.831790
-3475.200000,12101638.628571,147648612686537.156250,1324.557143,1782542.828571,3379248027825.256836,34.568613,42.831790
-3475.200000,12101638.628571,147648612686537.156250,1324.557143,1782542.828571,3379248027825.256836,34.568613,42.831790
-3475.200000,12101638.628571,147648612686537.156250,1324.557143,1782542.828571,3379248027825.256836,34.568613,42.831790
-3459.040000,11991911.893333,145107155520433.500000,1311.600000,1749424.906667,3267031378896.426270,36.011147,41.926621
-3459.040000,11991911.893333,145107155520433.500000,1311.600000,1749424.906667,3267031378896.426270,36.011147,41.926621
-3459.040000,11991911.893333,145107155520433.500000,1311.600000,1749424.906667,3267031378896.426270,36.011147,41.926621
-3459.040000,11991911.893333,145107155520433.500000,1311.600000,1749424.906667,3267031378896.426270,36.011147,41.926621
-3459.040000,11991911.893333,145107155520433.500000,1311.600000,1749424.906667,3267031378896.426270,36.011147,41.926621
-3459.040000,11991911.893333,145107155520433.500000,1311.600000,1749424.906667,3267031378896.426270,36.011147,41.926621
-3459.040000,11991911.893333,145107155520433.500000,1311.600000,1749424.906667,3267031378896.426270,36.011147,41.926621
-3459.040000,11991911.893333,145107155520433.500000,1311.600000,1749424.906667,3267031378896.426270,36.011147,41.926621
-3459.040000,11991911.893333,145107155520433.500000,1311.600000,1749424.906667,3267031378896.426270,36.011147,41.926621
-3459.040000,11991911.893333,145107155520433.500000,1311.600000,1749424.906667,3267031378896.426270,36.011147,41.926621
-3456.600000,11974060.400000,144630730815795.218750,1302.025000,1724150.100000,3176918958919.199219,33.773599,40.370682
-3456.600000,11974060.400000,144630730815795.218750,1302.025000,1724150.100000,3176918958919.199219,33.773599,40.370682
-3456.600000,11974060.400000,144630730815795.218750,1302.025000,1724150.100000,3176918958919.199219,33.773599,40.370682
-3456.600000,11974060.400000,144630730815795.218750,1302.025000,1724150.100000,3176918958919.199219,33.773599,40.370682
-3456.600000,11974060.400000,144630730815795.218750,1302.025000,1724150.100000,3176918958919.199219,33.773599,40.370682
-3456.600000,11974060.400000,144630730815795.218750,1302.025000,1724150.100000,3176918958919.199219,33.773599,40.370682
-3456.600000,11974060.400000,144630730815795.218750,1302.025000,1724150.100000,3176918958919.199219,33.773599,40.370682
-3456.600000,11974060.400000,144630730815795.218750,1302.025000,1724150.100000,3176918958919.199219,33.773599,40.370682
-3456.600000,11974060.400000,144630730815795.218750,1302.025000,1724150.100000,3176918958919.199219,33.773599,40.370682
-3456.600000,11974060.400000,144630730815795.218750,1302.025000,1724150.100000,3176918958919.199219,33.773599,40.370682
-3451.788235,11940284.141176,143795837064545.906250,1295.670588,1707118.823529,3114068308481.316895,32.087603,38.450361
-3451.788235,11940284.141176,143795837064545.906250,1295.670588,1707118.823529,3114068308481.316895,32.087603,38.450361
-3451.788235,11940284.141176,143795837064545.906250,1295.670588,1707118.823529,3114068308481.316895,32.087603,38.450361
-3451.788235,11940284.141176,143795837064545.906250,1295.670588,1707118.823529,3114068308481.316895,32.087603,38.450361
-3451.788235,11940284.141176,143795837064545.906250,1295.670588,1707118.823529,3114068308481.316895,32.087603,38.450361
-3451.788235,11940284.141176,143795837064545.906250,1295.670588,1707118.823529,3114068308481.316895,32.087603,38.450361
-3451.788235,11940284.141176,143795837064545.906250,1295.670588,1707118.823529,3114068308481.316895,32.087603,38.450361
-3451.788235,11940284.141176,143795837064545.906250,1295.670588,1707118.823529,3114068308481.316895,32.087603,38.450361
-3451.788235,11940284.141176,143795837064545.906250,1295.670588,1707118.823529,3114068308481.316895,32.087603,38.450361
-3451.788235,11940284.141176,143795837064545.906250,1295.670588,1707118.823529,3114068308481.316895,32.087603,38.450361
-3448.400000,11916280.888889,143192540006047.312500,1287.333333,1685525.333333,3039298898550.399414,30.441630,37.197716
-3448.400000,11916280.888889,143192540006047.312500,1287.333333,1685525.333333,3039298898550.399414,30.441630,37.197716
-3448.400000,11916280.888889,143192540006047.312500,1287.333333,1685525.333333,3039298898550.399414,30.441630,37.197716
-3448.400000,11916280.888889,143192540006047.312500,1287.333333,1685525.333333,3039298898550.399414,30.441630,37.197716
-3448.400000,11916280.888889,143192540006047.312500,1287.333333,1685525.333333,3039298898550.399414,30.441630,37.197716
-3448.400000,11916280.888889,143192540006047.312500,1287.333333,1685525.333333,3039298898550.399414,30.441630,37.197716
-3448.400000,11916280.888889,143192540006047.312500,1287.333333,1685525.333333,3039298898550.399414,30.441630,37.197716
-3448.400000,11916280.888889,143192540006047.312500,1287.333333,1685525.333333,3039298898550.399414,30.441630,37.197716
-3448.400000,11916280.888889,143192540006047.312500,1287.333333,1685525.333333,3039298898550.399414,30.441630,37.197716
-3448.400000,11916280.888889,143192540006047.312500,1287.333333,1685525.333333,3039298898550.399414,30.441630,37.197716
-3447.242105,11907479.747368,142943240781239.250000,1285.578947,1679896.800000,3012502010018.525391,28.818170,35.229227
-3447.242105,11907479.747368,142943240781239.250000,1285.578947,1679896.800000,3012502010018.525391,28.818170,35.229227
-3447.242105,11907479.747368,142943240781239.250000,1285.578947,1679896.800000,3012502010018.525391,28.818170,35.229227
-3447.242105,11907479.747368,142943240781239.250000,1285.578947,1679896.800000,3012502010018.525391,28.818170,35.229227
-3447.242105,11907479.747368,142943240781239.250000,1285.578947,1679896.800000,3012502010018.525391,28.818170,35.229227
-3447.242105,11907479.747368,142943240781239.250000,1285.578947,1679896.800000,3012502010018.525391,28.818170,35.229227
-3447.242105,11907479.747368,142943240781239.250000,1285.578947,1679896.800000,3012502010018.525391,28.818170,35.229227
-3447.242105,11907479.747368,142943240781239.250000,1285.578947,1679896.800000,3012502010018.525391,28.818170,35.229227
-3447.242105,11907479.747368,142943240781239.250000,1285.578947,1679896.800000,3012502010018.525391,28.818170,35.229227
-3447.242105,11907479.747368,142943240781239.250000,1285.578947,1679896.800000,3012502010018.525391,28.818170,35.229227
-3447.940000,11911280.560000,142984970225770.250000,1290.210000,1691916.900000,3053922813580.559570,27.348223,33.740706
-3447.940000,11911280.560000,142984970225770.250000,1290.210000,1691916.900000,3053922813580.559570,27.348223,33.740706
-3447.940000,11911280.560000,142984970225770.250000,1290.210000,1691916.900000,3053922813580.559570,27.348223,33.740706
-3447.940000,11911280.560000,142984970225770.250000,1290.210000,1691916.900000,3053922813580.559570,27.348223,33.740706
-3447.940000,11911280.560000,142984970225770.250000,1290.210000,1691916.900000,3053922813580.559570,27.348223,33.740706
-3447.940000,11911280.560000,142984970225770.250000,1290.210000,1691916.900000,3053922813580.559570,27.348223,33.740706
-3447.940000,11911280.560000,142984970225770.250000,1290.210000,1691916.900000,3053922813580.559570,27.348223,33.740706
-3447.940000,11911280.560000,142984970225770.250000,1290.210000,1691916.900000,3053922813580.559570,27.348223,33.740706
-3447.940000,11911280.560000,142984970225770.250000,1290.210000,1691916.900000,3053922813580.559570,27.348223,33.740706
-3447.940000,11911280.560000,142984970225770.250000,1290.210000,1691916.900000,3053922813580.559570,27.348223,33.740706
-3455.009524,11960052.266667,144147546153986.437500,1305.961905,1736620.038095,3239568453951.694336,26.956863,35.751019
-3455.009524,11960052.266667,144147546153986.437500,1305.961905,1736620.038095,3239568453951.694336,26.956863,35.751019
-3455.009524,11960052.266667,144147546153986.437500,1305.961905,1736620.038095,3239568453951.694336,26.956863,35.751019
-3455.009524,11960052.266667,144147546153986.437500,1305.961905,1736620.038095,3239568453951.694336,26.956863,35.751019
-3455.009524,11960052.266667,144147546153986.437500,1305.961905,1736620.038095,3239568453951.694336,26.956863,35.751019
-3455.009524,11960052.266667,144147546153986.437500,1305.961905,1736620.038095,3239568453951.694336,26.956863,35.751019
-3455.009524,11960052.266667,144147546153986.437500,1305.961905,1736620.038095,3239568453951.694336,26.956863,35.751019
-3455.009524,11960052.266667,144147546153986.437500,1305.961905,1736620.038095,3239568453951.694336,26.956863,35.751019
-3455.009524,11960052.266667,144147546153986.437500,1305.961905,1736620.038095,3239568453951.694336,26.956863,35.751019
-3455.009524,11960052.266667,144147546153986.437500,1305.961905,1736620.038095,3239568453951.694336,26.956863,35.751019
-3461.327273,12003985.236364,145214200135825.468750,1324.854545,1792648.290909,3495896435063.271973,26.467438,38.972723
-3461.327273,12003985.236364,145214200135825.468750,1324.854545,1792648.290909,3495896435063.271973,26.467438,38.972723
-3461.327273,12003985.236364,145214200135825.468750,1324.854545,1792648.290909,3495896435063.271973,26.467438,38.972723
-3461.327273,12003985.236364,145214200135825.468750,1324.854545,1792648.290909,3495896435063.271973,26.467438,38.972723
-3461.327273,12003985.236364,145214200135825.468750,1324.854545,1792648.290909,3495896435063.271973,26.467438,38.972723
-3461.327273,12003985.236364,145214200135825.468750,1324.854545,1792648.290909,3495896435063.271973,26.467438,38.972723
-3461.327273,12003985.236364,145214200135825.468750,1324.854545,1792648.290909,3495896435063.271973,26.467438,38.972723
-3461.327273,12003985.236364,145214200135825.468750,1324.854545,1792648.290909,3495896435063.271973,26.467438,38.972723
-3461.327273,12003985.236364,145214200135825.468750,1324.854545,1792648.290909,3495896435063.271973,26.467438,38.972723
-3461.327273,12003985.236364,145214200135825.468750,1324.854545,1792648.290909,3495896435063.271973,26.467438,38.972723
-3467.843478,12049329.739130,146315352686951.531250,1345.434783,1855411.704348,3800776790619.060547,26.116489,42.548130
-3467.843478,12049329.739130,146315352686951.531250,1345.434783,1855411.704348,3800776790619.060547,26.116489,42.548130
-3467.843478,12049329.739130,146315352686951.531250,1345.434783,1855411.704348,3800776790619.060547,26.116489,42.548130
-3467.843478,12049329.739130,146315352686951.531250,1345.434783,1855411.704348,3800776790619.060547,26.116489,42.548130
-3467.843478,12049329.739130,146315352686951.531250,1345.434783,1855411.704348,3800776790619.060547,26.116489,42.548130
-3467.843478,12049329.739130,146315352686951.531250,1345.434783,1855411.704348,3800776790619.060547,26.116489,42.548130
-3467.843478,12049329.739130,146315352686951.531250,1345.434783,1855411.704348,3800776790619.060547,26.116489,42.548130
-3467.843478,12049329.739130,146315352686951.531250,1345.434783,1855411.704348,3800776790619.060547,26.116489,42.548130
-3467.843478,12049329.739130,146315352686951.531250,1345.434783,1855411.704348,3800776790619.060547,26.116489,42.548130
-3467.843478,12049329.739130,146315352686951.531250,1345.434783,1855411.704348,3800776790619.060547,26.116489,42.548130
-3470.500000,12067007.200000,146704697897958.437500,1358.233333,1892066.266667,3955984762797.866699,25.145354,42.699933
-3470.500000,12067007.200000,146704697897958.437500,1358.233333,1892066.266667,3955984762797.866699,25.145354,42.699933
-3470.500000,12067007.200000,146704697897958.437500,1358.233333,1892066.266667,3955984762797.866699,25.145354,42.699933
-3470.500000,12067007.200000,146704697897958.437500,1358.233333,1892066.266667,3955984762797.866699,25.145354,42.699933
-3470.500000,12067007.200000,146704697897958.437500,1358.233333,1892066.266667,3955984762797.866699,25.145354,42.699933
-3470.500000,12067007.200000,146704697897958.437500,1358.233333,1892066.266667,3955984762797.866699,25.145354,42.699933
-3470.500000,12067007.200000,146704697897958.437500,1358.233333,1892066.266667,3955984762797.866699,25.145354,42.699933
-3470.500000,12067007.200000,146704697897958.437500,1358.233333,1892066.266667,3955984762797.866699,25.145354,42.699933
-3470.500000,12067007.200000,146704697897958.437500,1358.233333,1892066.266667,3955984762797.866699,25.145354,42.699933
-3470.500000,12067007.200000,146704697897958.437500,1358.233333,1892066.266667,3955984762797.866699,25.145354,42.699933
-3474.016000,12091061.376000,147268299929856.031250,1365.800000,1912314.192000,4029207181155.647949,24.373510,41.649442
-3474.016000,12091061.376000,147268299929856.031250,1365.800000,1912314.192000,4029207181155.647949,24.373510,41.649442
-3474.016000,12091061.376000,147268299929856.031250,1365.800000,1912314.192000,4029207181155.647949,24.373510,41.649442
-3474.016000,12091061.376000,147268299929856.031250,1365.800000,1912314.192000,4029207181155.647949,24.373510,41.649442
-3474.016000,12091061.376000,147268299929856.031250,1365.800000,1912314.192000,4029207181155.647949,24.373510,41.649442
-3474.016000,12091061.376000,147268299929856.031250,1365.800000,1912314.192000,4029207181155.647949,24.373510,41.649442
-3474.016000,12091061.376000,147268299929856.031250,1365.800000,1912314.192000,4029207181155.647949,24.373510,41.649442
